artifactToMarkAssignmentId,uuid,uri
1,['93473ca5-a704-4799-be28-09647bd268f2'],https://ngk.wisski.cloud/contents/67b6416c6b23e
2,['93473ca5-a704-4799-be28-09647bd268f2'],https://ngk.wisski.cloud/contents/67b6416cf3cc1
3,['866fe837-87a6-4e5b-b97b-1349174d603f'],https://ngk.wisski.cloud/contents/67b6416d3b63f
4,['866fe837-87a6-4e5b-b97b-1349174d603f'],https://ngk.wisski.cloud/contents/67b6416d78b40
5,['67df136b-424e-4f0a-971a-66722e219854'],https://ngk.wisski.cloud/contents/67b6416db0f04
6,['67df136b-424e-4f0a-971a-66722e219854'],https://ngk.wisski.cloud/contents/67b6416e03c49
7,['b3910c6e-14d0-4998-a61b-c62afc7092e4'],https://ngk.wisski.cloud/contents/67b6416e43e2a
8,['b3910c6e-14d0-4998-a61b-c62afc7092e4'],https://ngk.wisski.cloud/contents/67b6416e7af1d
9,['bba126d0-5b6d-4fbf-8288-a812d80c27cb'],https://ngk.wisski.cloud/contents/67b6416eb7283
10,['bba126d0-5b6d-4fbf-8288-a812d80c27cb'],https://ngk.wisski.cloud/contents/67b6416f02b52
11,['9fa3a226-25aa-4f01-90f8-e8e78a73611c'],https://ngk.wisski.cloud/contents/67b6416f46ead
12,['9fa3a226-25aa-4f01-90f8-e8e78a73611c'],https://ngk.wisski.cloud/contents/67b6416f88bc9
13,['586513ad-ff2a-4b99-8681-e93947af3e2f'],https://ngk.wisski.cloud/contents/67b6416fcd49d
14,['586513ad-ff2a-4b99-8681-e93947af3e2f'],https://ngk.wisski.cloud/contents/67b641701c6f5
15,['e86448f7-8f4c-4501-ad99-da7a1b3c61ff'],https://ngk.wisski.cloud/contents/67b641705d102
16,['e86448f7-8f4c-4501-ad99-da7a1b3c61ff'],https://ngk.wisski.cloud/contents/67b641709965e
17,['6cf1a1cf-2de5-430b-9039-e7895a82df29'],https://ngk.wisski.cloud/contents/67b64170d8485
18,['6cf1a1cf-2de5-430b-9039-e7895a82df29'],https://ngk.wisski.cloud/contents/67b641712816a
19,['462bd8e5-2da1-4269-90bf-8e02372cb442'],https://ngk.wisski.cloud/contents/67b641716c397
20,['462bd8e5-2da1-4269-90bf-8e02372cb442'],https://ngk.wisski.cloud/contents/67b64171b23cf
21,['8a4dee93-7afb-493c-887d-eded1d9c05a2'],https://ngk.wisski.cloud/contents/67b64171f0c57
22,['8a4dee93-7afb-493c-887d-eded1d9c05a2'],https://ngk.wisski.cloud/contents/67b641723fef1
23,['73762fec-0ed6-4f10-bf89-e3a876e272f2'],https://ngk.wisski.cloud/contents/67b641727aa1b
24,['73762fec-0ed6-4f10-bf89-e3a876e272f2'],https://ngk.wisski.cloud/contents/67b64172b7bad
25,['0d6acf75-f2f2-4031-be21-e3b24ef0e4c1'],https://ngk.wisski.cloud/contents/67b64173015c3
26,['0d6acf75-f2f2-4031-be21-e3b24ef0e4c1'],https://ngk.wisski.cloud/contents/67b64173413b2
27,['ab55d966-6e59-4e83-9f56-caa1684b1738'],https://ngk.wisski.cloud/contents/67b641737cd67
28,['5f91e5cf-ed0b-4bb1-9199-c11ccba39af9'],https://ngk.wisski.cloud/contents/67b64173bcaa3
29,['5f91e5cf-ed0b-4bb1-9199-c11ccba39af9'],https://ngk.wisski.cloud/contents/67b6417405470
30,['a130e104-1c4b-4980-b018-5794c5b7fdeb'],https://ngk.wisski.cloud/contents/67b641744ae67
31,['a130e104-1c4b-4980-b018-5794c5b7fdeb'],https://ngk.wisski.cloud/contents/67b641748eff1
32,['b8f60874-7db0-49a7-bfd0-01e9d3b0e3dd'],https://ngk.wisski.cloud/contents/67b64174d06b4
33,['b8f60874-7db0-49a7-bfd0-01e9d3b0e3dd'],https://ngk.wisski.cloud/contents/67b641752146b
34,['9cccd1cc-03ca-4ff8-88de-3359dd9e7983'],https://ngk.wisski.cloud/contents/67b641755e26a
35,['9cccd1cc-03ca-4ff8-88de-3359dd9e7983'],https://ngk.wisski.cloud/contents/67b64175a161a
36,['e1ea0bc1-1ad1-49f7-ae9e-33a64bd8e8ec'],https://ngk.wisski.cloud/contents/67b64175e2ab2
37,['e1ea0bc1-1ad1-49f7-ae9e-33a64bd8e8ec'],https://ngk.wisski.cloud/contents/67b6417628459
38,['e1ea0bc1-1ad1-49f7-ae9e-33a64bd8e8ec'],https://ngk.wisski.cloud/contents/67b6417664066
39,['e1ea0bc1-1ad1-49f7-ae9e-33a64bd8e8ec'],https://ngk.wisski.cloud/contents/67b64176a082e
40,['0f284a96-f509-4966-a065-fe821ab0d832'],https://ngk.wisski.cloud/contents/67b64176e0074
41,['0f284a96-f509-4966-a065-fe821ab0d832'],https://ngk.wisski.cloud/contents/67b641772f08f
42,['4c1033e1-2115-4e28-bd95-ff75805a689a'],https://ngk.wisski.cloud/contents/67b6417772263
43,['4c1033e1-2115-4e28-bd95-ff75805a689a'],https://ngk.wisski.cloud/contents/67b64177b4b6a
44,['af9f0e74-f22e-43c0-8ad2-beaaa8302175'],https://ngk.wisski.cloud/contents/67b641780a622
45,['af9f0e74-f22e-43c0-8ad2-beaaa8302175'],https://ngk.wisski.cloud/contents/67b641784f078
46,['2a0428f1-b2cb-40a3-929b-77130f9443d2'],https://ngk.wisski.cloud/contents/67b641788c34c
47,['2a0428f1-b2cb-40a3-929b-77130f9443d2'],https://ngk.wisski.cloud/contents/67b64178cb86d
48,['2a0428f1-b2cb-40a3-929b-77130f9443d2'],https://ngk.wisski.cloud/contents/67b6417918006
49,['4e5103ff-9019-4bd7-aa24-42479a1a04f0'],https://ngk.wisski.cloud/contents/67b641795f8c8
50,['4e5103ff-9019-4bd7-aa24-42479a1a04f0'],https://ngk.wisski.cloud/contents/67b64179a0451
51,['86bc5204-09bd-4924-9d08-ed1e808d5fea'],https://ngk.wisski.cloud/contents/67b64179dba9e
